"","lon","lat","Freq"
"158","-73.9833673","40.7436536",1
"159","-73.9837628","40.7271155",1
"160","-73.9914361","40.6933555",1
"161","-73.9996685","40.7320465",1
"162","-74.0059413","40.7127837",28
"163","-74.0675758","40.7217338",1
"164","-74.1502007","40.5795317",1
"165","-74.1723667","40.735657",1
"166","-74.3000878","40.2136754",1
"167","-74.4056612","40.0583238",2
"168","-74.6672226","40.3572976",1
"169","-74.8069813","11.0041072",1
"170","-74.8271081","39.9837234",1
"171","-75.1652215","39.9525839",4
"172","-75.2128996","39.9757092",1
"173","-75.451571","40.1856597",1
"174","-75.5276699","38.9108325",1
"175","-75.6971931","45.4215296",1
"176","-75.7324127","40.8759235",1
"177","-75.953067","45.813212",1
"178","-76.2874927","36.7682088",1
"179","-76.432309","40.102755",1
"180","-76.5472819","40.8441513",1
"181","-76.6412712","39.0457549",1
"182","-76.6874701","35.1337865",1
"183","-77.0368707","38.9071923",7
"184","-77.0420009","38.916473",1
"185","-77.0469214","38.8048355",1
"186","-77.138305","38.7149453",1
"187","-77.1945247","41.2033216",3
"188","-77.4360481","37.5407246",2
"189","-77.9155395","35.7212689",1
"190","-78.358616","38.9887199",1
"191","-78.6381787","35.7795897",1
"192","-78.6568942","37.4315734",3
"193","-78.7583432","37.8131025",1
"194","-79.0192997","35.7595731",2
"195","-79.1783725","40.6234671",1
"196","-79.3831843","43.653226",1
"197","-79.532157","43.8169837",4
"198","-79.7618035","34.0649253",2
"199","-79.8711024","43.2557206",1
"200","-79.9414266","37.2709704",1
"201","-79.9958864","40.4406248",3
"202","-80.0942087","26.9342246",1
"203","-80.0997657","26.3184123",1
"204","-80.1386547","26.8233946",1
"205","-80.1917902","25.7616798",3
"206","-80.2533838","35.8240265",1
"207","-80.3110104","43.4310349",1
"208","-80.344777","25.7324737",1
"209","-80.4549026","38.5976262",1
"210","-80.4933474","41.2322726",1
"211","-80.7209149","40.0639616",1
"212","-80.782127","8.537981",1
"213","-80.8431267","35.2270869",1
"214","-81.0228331","29.2108147",1
"215","-81.0348144","34.0007104",2
"216","-81.374011","28.5533684",1
"217","-81.378447","40.7989473",2
"218","-81.3792365","28.5383355",2
"219","-81.4456706","40.4897871",1
"220","-81.4587621","35.0164538",1
"221","-81.5157535","27.6648274",3
"222","-81.5190053","41.0814447",1
"223","-81.5615135","39.2667418",1
"224","-81.5706109","30.7478954",1
"225","-81.5861847","28.5652787",1
"226","-81.6035062","30.3500511",1
"227","-81.655651","30.3321838",1
"228","-81.6943605","41.49932",1
"229","-81.7075355","25.9397412",1
"230","-81.8164357","33.5419014",1
"231","-81.9105859","35.3365745",1
"232","-81.9486828","28.03254",1
"233","-82.0206428","29.1044237",1
"234","-82.3940104","34.8526176",2
"235","-82.445154","38.4192496",1
"236","-82.5436722","27.763383",1
"237","-82.7717684","28.0197404",1
"238","-82.8453668","27.9172334",1
"239","-82.9000751","32.1656221",1
"240","-82.907123","40.4172871",3
"241","-83.0137065","42.8034539",1
"242","-83.0457538","42.331427",1
"243","-83.1074641","42.5301376",1
"244","-83.213346","42.331924",1
"245","-83.2341028","42.6875323",1
"246","-83.336188","42.5921924",1
"247","-83.3553842","42.2161722",1
"248","-83.482116","42.3086444",1
"249","-83.555212","41.6639383",1
"250","-83.9207392","35.9606384",1
"251","-84.1401926","34.2073196",1
"252","-84.1916069","39.7589478",3
"253","-84.2700179","37.8393332",1
"254","-84.2807329","30.4382559",1
"255","-84.2963123","33.7748275",1
"256","-84.3213409","33.7509329",1
"257","-84.3879824","33.7489954",14
"258","-84.4277001","33.6407282",1
"259","-84.6266111","38.9989499",1
"260","-84.8643565","38.2153958",1
"261","-85.3096801","35.0456297",1
"262","-85.3232139","51.253775",1
"263","-85.6023643","44.3148443",2
"264","-85.684578","30.1805306",1
"265","-85.754728","38.219586",1
"266","-85.8227413","38.2000701",1
"267","-85.8891471","39.7219882",1
"268","-85.929814","32.4886992",1
"269","-85.986644","34.5789747",1
"270","-86.1349019","40.2671941",2
"271","-86.158068","39.768403",1
"272","-86.3442107","34.3614336",1
"273","-86.5804473","35.5174913",1
"274","-86.5861037","34.7303688",1
"275","-86.7816016","36.1626638",1
"276","-86.8515279","21.161908",1
"277","-86.8688899","35.9250637",1
"278","-87.1856139","37.5515321",1
"279","-87.5691735","33.2098407",1
"280","-87.5710898","37.9715592",1
"281","-87.5761371","41.7964546",2
"282","-87.6087638","41.8054641",1
"283","-87.6297982","41.8781136",3
"284","-87.771964","41.909611",1
"285","-87.9064736","43.0389025",1
"286","-88.0398912","30.6953657",1
"287","-88.1182923","41.501761",1
"288","-88.7878678","43.7844397",1
"289","-89.3131465","40.4336504",1
"290","-89.3985283","40.6331249",3
"291","-89.4012302","43.0730517",1
"292","-89.5889864","40.6936488",1
"293","-89.6501481","39.7817213",2
"294","-90.0489801","35.1495343",1
"295","-90.0715323","29.9510658",1
"296","-90.1994042","38.6270025",2
"297","-90.3583932","38.7311415",1
"298","-90.9928773","30.1010323",1
"299","-91.8074586","18.6504879",1
"300","-91.8318334","35.20105",1
"301","-91.9623327","30.9842977",2
"302","-92.5664305","35.1524783",1
"303","-92.9475061","17.989456",1
"304","-93.392867","44.986198",1
"305","-93.4557877","45.0724642",1
"306","-93.5683651","47.5507924",1
"307","-93.5874364","36.379123",1
"308","-94.139023","30.054381",1
"309","-94.1574263","36.0625795",1
"310","-94.198558","39.0150069",1
"311","-94.5785667","39.0997265",1
"312","-95.2091006","29.6910625",1
"313","-95.3698028","29.7604267",9
"314","-95.4067752","29.4737935",1
"315","-95.593239","29.6827204",1
"316","-95.712891","37.09024",21
"317","-95.9979883","41.2523634",1
"318","-96.3344068","30.627977",2
"319","-96.6397822","33.1972465",1
"320","-96.7969879","32.7766642",6
"321","-96.8236116","33.1506744",2
"322","-97.0513646","33.0395092",1
"323","-97.1188299","31.5355376",1
"324","-97.330053","37.6871761",2
"325","-97.3307658","32.7554883",1
"326","-97.396381","27.8005828",1
"327","-97.5164276","35.4675602",1
"328","-97.7430608","30.267153",2
"329","-97.856109","27.5158689",1
"330","-97.9810845","29.8942825",1
"331","-98.2061996","19.0412967",2
"332","-98.4936282","29.4241219",1
"333","-98.5828489","29.4735999",1
"334","-99.0202439","19.3272634",1
"335","-99.1013498","19.2464696",1
"336","-99.133208","19.4326077",4
"337","-99.6556653","19.2826098",1
"338","-99.9018131","31.9685988",8
"339","10.451526","51.165691",1
"340","10.6507113","44.5594688",1
"341","100.5017651","13.7563309",1
"342","101.975766","4.210484",1
"343","106.822745","-6.1744651",1
"344","106.845599","-6.2087634",1
"345","12.3730747","51.3396955",1
"346","121.774017","12.879721",2
"347","127.945404","26.501301",1
"348","13.6883765","11.5218308",1
"349","13.914399","3.9505128",1
"350","144.9611812","-37.8150737",1
"351","151.2092955","-33.8688197",1
"352","153.1932534","-28.6104322",1
"353","19.140119","47.6942316",1
"354","2.994088","45.266957",1
"355","24.4750765","35.3596709",1
"356","28.233608","-29.609988",1
"357","3.3439291","6.4979884",1
"358","55.2707828","25.2048493",1
"359","7.4165053","10.5104642",1
"360","7.5885761","47.5595986",1
"361","73.0931461","33.7293882",1
"362","78.471002","17.4436085",1
"363","8.675277","9.081999",1
"364","88.363895","22.572646",1
