"","team_id","team_name","build_play","chance_creation","defense_rating","goals_scored"
"134",8597,"Kilmarnock",167,205,200,346
"135",8600,"Udinese",205,199,160,415
"136",8602,"Wolverhampton Wanderers",136,210,210,118
"137",8603,"Real Betis Balompié",145,206,165,225
"138",8611,"FC Twente",131,172,197,509
"139",8613,"Boavista FC",153,128,148,51
"140",8614,"Sparta Rotterdam",0,140,90,76
"141",8633,"Real Madrid CF",153,200,178,843
"142",8634,"FC Barcelona",122,175,195,849
"143",8635,"RSC Anderlecht",149,182,190,427
"144",8636,"Inter",182,203,165,496
"145",8639,"LOSC Lille",152,184,180,450
"146",8640,"PSV",153,200,167,652
"147",8649,"Ross County FC",153,153,143,192
"148",8650,"Liverpool",171,180,172,531
"149",8654,"West Ham United",184,171,140,326
"150",8655,"Blackburn Rovers",185,185,160,175
"151",8658,"Birmingham City",174,210,210,75
"152",8659,"West Bromwich Albion",145,195,210,305
"153",8661,"RCD Mallorca",172,163,156,238
"154",8667,"Hull City",151,195,210,144
"155",8668,"Everton",137,180,180,439
"156",8673,"Legia Warszawa",141,170,195,409
"157",8674,"FC Groningen",142,177,149,390
"158",8678,"Bournemouth",139,200,210,45
"159",8682,"Le Mans FC",0,195,200,79
"160",8686,"Roma",153,208,155,530
"161",8689,"FC Lorient",158,180,200,378
"162",8690,"Reggio Calabria",163,186,140,30
"163",8696,"Racing Santander",147,205,168,160
"164",8697,"SV Werder Bremen",174,216,205,423
"165",8721,"VfL Wolfsburg",170,210,171,463
"166",8722,"1. FC Köln",171,165,170,226
"167",9746,"Le Havre AC",154,180,168,30
"168",9747,"En Avant de Guingamp",169,170,145,122
"169",9748,"Olympique Lyonnais",161,185,200,497
"170",9761,"NAC Breda",153,141,143,294
"171",9764,"Gil Vicente FC",176,152,149,110
"172",9765,"Portimonense",0,0,0,29
"173",9768,"Sporting CP",178,204,174,411
"174",9771,"União de Leiria, SAD",0,150,154,85
"175",9772,"SL Benfica",178,185,175,568
"176",9773,"FC Porto",173,196,178,541
"177",9776,"Eintracht Braunschweig",183,195,157,29
"178",9777,"Servette FC",0,175,170,77
"179",9783,"RC Deportivo de La Coruña",157,187,154,241
"180",9788,"Borussia Mönchengladbach",116,185,160,403
"181",9789,"Borussia Dortmund",170,194,178,551
"182",9790,"Hamburger SV",164,200,175,344
"183",9791,"Heracles Almelo",147,173,169,403
"184",9798,"Reading",144,210,200,43
"185",9800,"St. Mirren",178,210,200,257
"186",9803,"Roda JC Kerkrade",133,159,146,343
"187",9804,"Torino",209,189,145,241
"188",9807,"CF Os Belenenses",157,160,135,148
"189",9809,"Naval 1° de Maio",0,165,121,71
"190",9810,"Eintracht Frankfurt",153,165,151,296
"191",9817,"Watford",160,205,205,40
"192",9823,"FC Bayern Munich",97,205,184,653
"193",9824,"FC Vaduz",141,137,133,100
"194",9825,"Arsenal",140,150,170,573
"195",9826,"Crystal Palace",173,205,185,119
"196",9827,"Girondins de Bordeaux",139,190,195,404
"197",9829,"AS Monaco",168,165,205,287
"198",9830,"FC Nantes",189,160,152,135
"199",9831,"OGC Nice",175,165,210,342
"200",9836,"Dijon FCO",154,165,149,38
"201",9837,"Stade de Reims",154,165,140,168
"202",9839,"VVV-Venlo",0,164,155,152
"203",9847,"Paris Saint-Germain",174,191,210,568
"204",9850,"Norwich City",138,195,200,160
"205",9851,"Stade Rennais FC",167,195,210,367
"206",9853,"AS Saint-Étienne",165,175,148,371
"207",9855,"Grenoble Foot 38",0,195,195,55
"208",9857,"Bologna",164,175,135,263
"209",9858,"Brescia",141,180,155,34
"210",9860,"Heart of Midlothian",168,210,200,317
"211",9864,"Málaga CF",129,191,164,377
"212",9865,"UD Almería",152,180,193,202
"213",9867,"CD Tenerife",163,180,174,40
"214",9868,"Xerez Club Deportivo",0,159,165,38
"215",9869,"Real Sporting de Gijón",153,185,195,200
"216",9873,"Valenciennes FC",160,188,155,256
"217",9874,"FC Sochaux-Montbéliard",164,184,165,246
"218",9875,"Napoli",180,215,165,514
"219",9876,"Hellas Verona",157,173,169,145
"220",9878,"Pescara",152,180,145,27
"221",9879,"Fulham",142,190,138,265
"222",9880,"Cesena",143,170,145,98
"223",9882,"Sampdoria",130,180,175,318
"224",9885,"Juventus",105,195,169,543
"225",9888,"Lecce",0,175,165,121
"226",9891,"Frosinone",157,156,193,35
"227",9904,"Hannover 96",144,175,210,359
"228",9905,"1. FSV Mainz 05",178,185,170,320
"229",9906,"Atlético Madrid",157,206,160,524
"230",9908,"FC Utrecht",152,182,159,408
"231",9910,"RC Celta de Vigo",169,179,169,184
"232",9911,"VfL Bochum",164,172,172,72
"233",9912,"DSC Arminia Bielefeld",166,165,138,29
"234",9925,"Celtic",180,205,200,695
"235",9927,"Motherwell",172,205,200,403
"236",9930,"FC Aarau",156,181,150,153
"237",9931,"FC Basel",170,186,180,619
"238",9938,"Dundee United",171,205,200,438
"239",9941,"Toulouse FC",158,165,140,339
"240",9956,"Grasshopper Club Zürich",164,184,160,429
"241",9976,"Bari",157,193,161,76
"242",9984,"KSV Cercle Brugge",145,200,195,213
"243",9985,"Standard de Liège",161,182,205,341
"244",9986,"Sporting Charleroi",160,148,210,201
"245",9987,"KRC Genk",148,182,205,348
"246",9989,"Lierse SK",171,169,159,113
"247",9991,"KAA Gent",142,184,166,390
"248",9993,"Beerschot AC",0,185,210,174
"249",9994,"Sporting Lokeren",159,154,200,279
"250",9996,"Royal Excel Mouscron",150,150,140,42
"251",9997,"Sint-Truidense VV",0,154,150,115
"252",9998,"RAEC Mons",160,168,138,129
"253",9999,"KSV Roeselare",0,125,205,62
"254",10000,"SV Zulte-Waregem",147,153,200,306
"255",10001,"KVC Westerlo",148,167,210,217
"256",10003,"Swansea City",131,210,210,233
"257",10167,"Parma",152,176,166,272
"258",10172,"Queens Park Rangers",141,210,210,115
"259",10179,"FC Sion",155,177,146,371
"260",10189,"FC Schalke 04",143,195,185,426
"261",10190,"FC St. Gallen",146,157,155,276
"262",10191,"FC Thun",152,166,145,279
"263",10192,"BSC Young Boys",172,202,170,529
"264",10194,"Stoke City",138,195,153,322
"265",10199,"FC Luzern",165,175,153,421
"266",10205,"Villarreal CF",126,161,165,364
"267",10211,"SC Beira Mar",0,165,155,93
"268",10212,"CS Marítimo",182,186,144,316
"269",10213,"Amadora",0,0,0,26
"270",10214,"CD Nacional",167,165,156,332
"271",10215,"Académica de Coimbra",150,172,151,240
"272",10217,"ADO Den Haag",162,181,173,366
"273",10218,"Excelsior",163,162,106,154
"274",10219,"RKC Waalwijk",142,159,150,153
"275",10228,"SC Heerenveen",150,171,183,470
"276",10229,"AZ",154,185,184,492
"277",10233,"Genoa",184,182,154,392
"278",10235,"Feyenoord",154,165,160,489
"279",10238,"Vitória Setúbal",149,165,140,238
"280",10242,"ES Troyes AC",148,150,140,71
